customer_state,order_count,total_revenue,avg_order_value,revenue_share_%
SP,40501,5769703.15,142.46,37.42
RJ,12350,2055401.57,166.43,13.33
MG,11354,1818891.67,160.2,11.8
RS,5345,861472.79,161.17,5.59
PR,4923,781708.8,158.79,5.07
SC,3546,595127.78,167.83,3.86
BA,3256,591137.81,181.55,3.83
DF,2080,346123.35,166.41,2.24
GO,1957,334212.35,170.78,2.17
ES,1995,317657.93,159.23,2.06
PE,1593,308972.05,193.96,2.0
CE,1279,266436.77,208.32,1.73
PA,946,212023.57,224.13,1.38
MT,886,181224.42,204.54,1.18
MA,717,147803.55,206.14,0.96
PB,517,137838.55,266.61,0.89
MS,701,134367.55,191.68,0.87
PI,476,105178.19,220.96,0.68
RN,474,100714.78,212.48,0.65
AL,397,94172.49,237.21,0.61
SE,335,70289.13,209.82,0.46
TO,274,60007.37,219.0,0.39
RO,243,56966.0,234.43,0.37
AM,145,27585.47,190.24,0.18
AC,80,19575.33,244.69,0.13
AP,67,16141.81,240.92,0.1
RR,41,9039.52,220.48,0.06
