year_month,order_count,total_revenue,order_growth_%,revenue_growth_%
2016-09,1,143.46,,
2016-10,265,46490.66,26400.0,32306.705701937823
2016-12,1,19.62,-99.62264150943396,-99.95779797490508
2017-01,750,127482.37,74900.0,649657.237512742
2017-02,1653,271239.32,120.40000000000002,112.76614170257426
2017-03,2546,414330.95,54.022988505747115,52.754751781563236
2017-04,2303,390812.4,-9.544383346425766,-5.676271589172854
2017-05,3546,566851.4,53.97307859313938,45.04437423172858
2017-06,3135,490050.37,-11.590524534686974,-13.548706062999937
2017-07,3872,566299.08,23.50877192982457,15.55936178560582
2017-08,4193,645832.36,8.290289256198346,14.044395057113634
2017-09,4150,701077.49,-1.0255187216789863,8.554097537014105
2017-10,4478,751117.01,7.9036144578313205,7.137516282258627
2017-11,7289,1153364.2,62.77355962483251,53.553199387669295
2017-12,5513,843078.29,-24.365482233502533,-26.902682604506012
2018-01,7069,1077887.46,28.224197351714132,27.851407489095692
2018-02,6555,966168.41,-7.271184043004664,-10.364630274110432
2018-03,7003,1120598.24,6.83447749809305,15.983738280161731
2018-04,6798,1132878.93,-2.927316864201057,1.0959048088456713
2018-05,6749,1128774.52,-0.7208002353633391,-0.3622990852164554
2018-06,6099,1011978.29,-9.631056452807819,-10.347171018707968
2018-07,6159,1027807.28,0.9837678307919262,1.5641630019552988
2018-08,6351,985491.64,3.117389186556263,-4.117079225202613
