customer_state,avg_delay_days,late_rate,order_count
AL,-8.03,21.41057934508816,397
MA,-8.89,17.433751743375176,717
SE,-9.33,15.223880597014924,335
PI,-10.63,13.865546218487395,476
CE,-10.11,13.76075058639562,1279
RR,-16.59,12.195121951219512,41
BA,-10.1,12.162162162162163,3256
RJ,-11.05,12.105263157894736,12350
PA,-13.39,11.20507399577167,946
ES,-9.8,10.726817042606516,1995
PB,-12.6,10.444874274661508,517
TO,-11.44,9.854014598540147,274
MS,-10.36,9.700427960057063,701
PE,-12.61,9.6045197740113,1593
RN,-12.96,9.282700421940929,474
SC,-10.8,8.206429780033842,3546
GO,-11.48,6.540623403168115,1957
RS,-13.21,6.081586826347305,5344
MT,-13.69,5.981941309255079,886
DF,-11.34,5.673076923076923,2080
MG,-12.54,4.571076272679233,11354
SP,-10.38,4.492134442990146,40493
PR,-12.62,4.042250660166565,4923
AC,-20.08,3.75,80
AP,-19.06,2.9850746268656714,67
RO,-19.4,2.880658436213992,243
AM,-18.85,2.7586206896551726,145
