product_category_name_english,avg_review_score,review_count,avg_delay,avg_delivery_time,unique_orders,risk_score
office_furniture,3.49,1677,-11.15,20.84,1273,0.3949999999999998
home_confort,3.84,432,-9.11,13.53,397,0.24900000000000022
audio,3.83,360,-9.47,13.32,350,0.22299999999999986
fashion_male_clothing,3.64,131,-12.0,12.95,112,0.15999999999999992
unknown,3.84,1613,-10.7,12.73,1473,0.0900000000000003
bed_bath_table,3.9,10982,-10.96,12.81,9417,0.0040000000000000036
fashion_underwear_beach,3.98,130,-10.21,13.71,121,-0.001000000000000112
construction_tools_safety,3.84,193,-11.68,11.92,167,-0.007999999999999785
furniture_living_room,3.9,498,-11.12,13.8,422,-0.011999999999999789
telephony,3.95,4512,-10.69,12.86,4199,-0.019000000000000128
home_construction,3.94,599,-10.86,13.21,490,-0.0259999999999998
agro_industry_and_commerce,4.0,212,-10.76,11.64,182,-0.07600000000000007
furniture_decor,3.91,8250,-11.71,12.88,6449,-0.08100000000000018
electronics,4.04,2748,-10.43,12.89,2550,-0.08299999999999996
fixed_telephony,3.68,261,-14.05,12.68,217,-0.08500000000000019
construction_tools_lights,4.05,295,-10.51,9.72,244,-0.10099999999999976
baby,4.01,3040,-10.95,12.52,2885,-0.10499999999999976
computers_accessories,3.94,7782,-11.73,13.23,6689,-0.11299999999999999
consoles_games,4.02,1126,-10.97,13.61,1062,-0.11699999999999955
drinks,4.04,373,-10.81,10.43,297,-0.121
food,4.22,495,-9.18,9.56,450,-0.13799999999999968
watches_gifts,4.02,5940,-11.21,12.66,5624,-0.14099999999999957
construction_tools_construction,4.05,924,-10.91,10.73,748,-0.1409999999999998
kitchen_dining_laundry_garden_furniture,3.97,279,-11.72,11.88,248,-0.14200000000000035
auto,4.07,4192,-10.74,12.23,3897,-0.14400000000000035
art,3.94,207,-12.09,11.36,202,-0.14900000000000002
christmas_supplies,4.02,146,-11.33,15.74,128,-0.15299999999999958
garden_tools,4.05,4315,-11.28,13.71,3518,-0.17799999999999971
housewares,4.06,6918,-11.61,10.92,5884,-0.22099999999999964
musical_instruments,4.15,674,-10.79,12.98,628,-0.22900000000000031
sports_leisure,4.11,8581,-11.31,12.15,7720,-0.24100000000000033
computers,4.18,200,-10.86,13.51,181,-0.26599999999999957
health_beauty,4.14,9588,-11.27,11.98,8836,-0.2669999999999997
industry_commerce_and_business,4.1,265,-11.83,10.76,235,-0.2829999999999997
signaling_and_security,4.09,197,-12.07,10.43,140,-0.29699999999999993
toys,4.16,4083,-11.4,11.7,3886,-0.30000000000000027
air_conditioning,3.97,292,-13.47,12.26,253,-0.31700000000000017
home_appliances_2,4.14,236,-11.79,13.91,234,-0.3189999999999995
cool_stuff,4.15,3762,-11.8,12.36,3632,-0.3300000000000005
stationery,4.2,2499,-11.33,12.74,2311,-0.3330000000000002
costruction_tools_garden,4.05,238,-12.86,11.88,194,-0.33599999999999985
perfumery,4.17,3405,-11.74,11.75,3162,-0.34399999999999986
pet_shop,4.18,1937,-11.84,11.23,1710,-0.36399999999999966
home_appliances,4.18,768,-11.94,11.29,764,-0.37399999999999967
food_drink,4.31,277,-10.9,10.89,227,-0.3999999999999997
market_place,4.02,309,-13.95,12.16,280,-0.4149999999999996
fashion_bags_accessories,4.15,2020,-12.65,11.09,1864,-0.4150000000000005
books_technical,4.36,264,-10.6,10.65,260,-0.4200000000000004
small_appliances,4.15,673,-13.19,10.78,630,-0.4690000000000003
luggage_accessories,4.32,1088,-11.93,10.67,1034,-0.5130000000000003
books_general_interest,4.45,549,-11.45,11.61,512,-0.5950000000000002
fashion_shoes,4.25,258,-14.16,15.44,240,-0.6659999999999999
